Match_ID,Date,Teams,Team1,Team2,Toss_Winner,Toss_Decision,team1_form_winrate_5,team2_form_winrate_5,venue_chase_winrate_prior,venue_score_prior,Match_Winner
1082594,2017-04-08,Punjab Kings vs Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant,Punjab Kings,field,0.2,0.8,0.75,0.5,Punjab Kings
1082595,2017-04-08,Royal Challengers Bengaluru vs Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,0.6,0.4,0.5,0.0,Royal Challengers Bengaluru
1082597,2017-04-09,Mumbai Indians vs Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,0.6,0.4,0.49019607843137253,-0.019607843137254943,Mumbai Indians
1082598,2017-04-10,Punjab Kings vs Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,0.4,0.8,0.8,0.6000000000000001,Punjab Kings
1082599,2017-04-11,Rising Pune Supergiant vs Delhi Capitals,Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant,field,1.0,0.2,0.5833333333333334,0.16666666666666674,Delhi Capitals
1082600,2017-04-12,Mumbai Indians vs Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,0.6,0.6,0.5,0.0,Mumbai Indians
1082601,2017-04-13,Kolkata Knight Riders vs Punjab Kings,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,0.6,0.4,0.625,0.25,Kolkata Knight Riders
1082602,2017-04-14,Royal Challengers Bengaluru vs Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,0.6,0.6,0.5333333333333333,0.06666666666666665,Mumbai Indians
1082605,2017-04-15,Delhi Capitals vs Punjab Kings,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,0.4,0.2,0.5454545454545454,0.09090909090909083,Delhi Capitals
1082604,2017-04-15,Kolkata Knight Riders vs Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,0.6,0.4,0.631578947368421,0.26315789473684204,Kolkata Knight Riders
